instances\test_1.txt:	41 | 56/91
instances\test_10.txt:	19 | 4/7
instances\test_11.txt:	35 | 3/5
instances\test_12.txt:	36 | 6/11
instances\test_13.txt:	36 | 9/17
instances\test_14.txt:	24 | 2/3
instances\test_15.txt:	50 | 12/23
instances\test_16.txt:	51 | 19/37
instances\test_17.txt:	39 | 1/1
instances\test_18.txt:	32 | 7/13
instances\test_19.txt:	47 | 6/11
instances\test_2.txt:	18 | 1/1
instances\test_20.txt:	28 | 2/3
instances\test_21.txt:	46 | 4/7
instances\test_22.txt:	51 | 8/14
instances\test_23.txt:	32 | 2/3
instances\test_24.txt:	47 | 12/21
instances\test_25.txt:	40 | 6/11
instances\test_26.txt:	42 | 5/8
instances\test_27.txt:	40 | 7/12
instances\test_28.txt:	41 | 8/13
instances\test_29.txt:	48 | 11/20
instances\test_3.txt:	28 | 1/1
instances\test_30.txt:	43 | 79/115
instances\test_31.txt:	39 | 8/14
instances\test_32.txt:	30 | 4/7
instances\test_33.txt:	28 | 10/17
instances\test_34.txt:	33 | 3/5
instances\test_35.txt:	30 | 3/5
instances\test_36.txt:	23 | 2/3
instances\test_37.txt:	38 | 19/30
instances\test_38.txt:	28 | 1/1
instances\test_39.txt:	35 | 3/5
instances\test_4.txt:	32 | 16/30
instances\test_40.txt:	24 | 2/3
instances\test_41.txt:	45 | 186/340
instances\test_42.txt:	57 | 34/52
instances\test_43.txt:	43 | 7/13
instances\test_44.txt:	33 | 15/25
instances\test_45.txt:	24 | 2/3
instances\test_46.txt:	57 | 16/22
instances\test_47.txt:	68 | 9615/14700
instances\test_48.txt:	36 | 5/9
instances\test_49.txt:	42 | 7/13
instances\test_5.txt:	26 | 6/11
instances\test_50.txt:	48 | 13/25
instances\test_6.txt:	24 | 3/5
instances\test_7.txt:	34 | 2/3
instances\test_8.txt:	38 | 102/171
instances\test_9.txt:	24 | 1/1
