Instance,Sum of Costs,Nodes Expanded,Nodes Generated,CPU time (s)
inst_1.txt,"	 18",64,84,0.02
inst_2.txt,"	 22",2,3,0
inst_3.txt,"	 33",28,34,0.02
inst_4.txt,"	 61",14948,15362,27.8
inst_5.txt,"	 56",21945,23071,29.01
inst_6.txt,"	 40",34,46,0.03
inst_7.txt,"	 40",381,430,0.31
inst_8.txt,"	 67",117700,119892,181.09
inst_9.txt,"	 101",17232,18740,48.57
inst_10.txt,"	 31",39362,51566,27.12
inst_11.txt,"	 84",111790,115044,274.72
inst_12.txt,"	 60",16638,17415,20.46
inst_13.txt,"	 51",2810,3012,2.88
inst_14.txt,"	 28",12,13,0.01
inst_15.txt,"	 22",2,3,0
inst_16.txt,"	 27",2,3,0
inst_17.txt,"	 78",125779,136240,506.41
inst_18.txt,"	 20",1,1,0
inst_19.txt,"	 33",6,9,0
inst_20.txt,"	 63",23368,29090,56.75
inst_21.txt,"	 25",587,748,0.36
inst_22.txt,"	 21",7,9,0
inst_23.txt,"	 35",3375,3661,3.82
inst_24.txt,"	 55",1601,1794,2.43
inst_25.txt,"	 95",6035,6527,12.24
inst_26.txt,"	 43",523,599,0.75
inst_27.txt,"	 47",30,39,0.03
inst_28.txt,"	 26",23,28,0.02
inst_29.txt,"	 42",482,500,0.49
inst_30.txt,"	 34",1676,1846,1.09
inst_31.txt,"	 24",200,232,0.07
inst_32.txt,"	 55",866,1260,0.63
inst_33.txt,"	 16",24,36,0
inst_34.txt,"	 55",2984,3929,3.2
inst_35.txt,"	 35",23,32,0.01
inst_36.txt,"	 51",175,211,0.11
inst_37.txt,     NA, NA,500000,1179.93
inst_38.txt,"	 31",28,32,0.02
inst_39.txt,"	 52",271,305,0.27
inst_40.txt,"	 38",625,719,0.73
