Instance,Sum of Costs,Nodes Expanded,Nodes Generated,CPU time (s)
inst_1,"	17",18,30,0
inst_2,"	22",2,3,0
inst_3,"	33",15,22,0.01
inst_5,"	40",3327,5886,2.26
inst_6,"	40",51,90,0.03
inst_10,0,308000,500000,202.59
inst_11,0,337789,500000,187.21
inst_12,0,300000,500000,182.43
inst_13,0,300000,500000,326.2
inst_14,0,300000,500000,185.14
inst_15,"	22",2,3,0
inst_16,"	27",2,3,0
inst_17,0,311091,500000,1278.86
inst_18,"	20",1,1,0
inst_19,"	33",6,10,0
inst_20,0,302322,500000,1279
inst_21,0,300322,500000,388.88
inst_22,0,302322,500000,640.77
inst_23,0,499015,500000,461.14
inst_24,0,303526,500000,352.15
inst_25,0,250710,500000,659.69
inst_26,0,392115,500000,439.83
inst_27,0,245990,500000,245.81
inst_26,"	37",556,871,0.7
inst_28,0,349254,500000,424.14
inst_29,0,325211,500000,299.41
inst_30,0,425111,500000,1240.11
inst_31,0,300000,500000,288.51
inst_32,0,300800,500000,438.65
inst_33,"	16",34,61,0
inst_34,"	54",6368,9851,5.17
inst_35,0,444585,500000,424.01
inst_36,0,325520,500000,513.1
inst_37,0,245000,500000,185.57
inst_38,"	30",15,22,0.01
inst_39,0,488140,500000,599.51
inst_40,0,258111,500000,1104.1
